title,rating,type,min_age,max_players,max_time,weight,nlp_description
Grand Austria Hotel,8.0,Strategy,12.0,4,120,3.21,thick viennese modern age exquisite caf competing customer inspiring artist important politician tourist world populating vienna need hotel room opportunity turn little caf world famous hotel hire staff fulfill wish guest gain emperor favor caf become grand austria hotel start player roll dice sorting rolled number placing corresponding action space turn player chooses one six action carry number available dice corresponding action space determines much player get action remove one dice carry additional action different action player get necessary drink dish prepare room hire staff hotel grow without guest choose wisely guest attract complete order brings important bonus action staff card also different advantage game end seven round player everything want whoever make right decision find best way create bonus action win different card new set game grand austria hotelprovides huge replay value game stand demand new tactic strategy
Pandemic Legacy: Season 2,8.0,Strategy,14.0,4,60,3.26,description publisher world almost ended year ago plague came nowhere ravaged world died within week nothing could stop world best good enough three generation last fragment humanity lived sea floating station called haven far plague able provide supply mainland keep u succumbing completely managed keep network largest known city world alive thing tough past year city far away haven fallen grid tomorrow small group u head left world know find pandemic legacy season epic cooperative game player unlike game one working action take pandemic legacy carry future game two world ever alike part thepandemic series
Mansions of Madness: Second Edition,7.9,Thematic,14.0,5,180,2.7,mansion madness second editionis fully co operative app driven board game horror mystery one five player take place universe aseldritch horrorandelder sign let immersive app guide veiled street innsmouth haunted corridor arkham cursed mansion search answer respite eight brave investigator stand ready confront four scenario fear mystery collecting weapon tool information solving complex puzzle fighting monster insanity death open door step inside hair raisingmansions madness second edition take survival conquer evil terrorizing town
Tzolk'in: The Mayan Calendar,7.9,Strategy,13.0,4,90,3.66,tzolkin mayan calendarpresents new game mechanism dynamic worker placement player representing different mayan tribe place worker giant connected gear gear rotate take worker different action spot turn player either place one worker lowest visible spot gear b pick one worker placing worker must pay corn used currency game pick worker perform certain action depending position worker action located later gear valuable wise let time work player skip turn worker gear pick game end one full revolution central tzolkin gear many path victory pleasing god placing crystal skull deep cave building many temple two many path
Power Grid,7.8,Strategy,12.0,6,120,3.25,power gridis updated release thefriedemann friesecrayon gamefunkenschlag remove crayon aspect network building original edition retaining fluctuating commodity market likecrude oil gameand auction round intensity reminiscent ofthe prince florence objective ofpower gridis supply city power someone network gain predetermined size new edition player mark pre existing route city connection bid purchase power plant use power city however plant purchased newer efficient plant become available merely purchasing potentially allowing others access superior equipment additionally player must acquire raw material coal oil garbage uranium needed power said plant except renewable windfarm solar plant require fuel making constant struggle upgrade plant maximum efficiency still retaining enough wealth quickly expand network get cheapest route power grid faq please read posting rule question many question askedover overin forum question specific expansion please check rule forum faq particular expansion
Clank!: Catacombs,8.2,Family,13.0,4,90,2.5,catacomb skeletal dragon umbrok vessna mysterious dangerous portal transport around dungeon depth wayshrines offer vast rich intrepid explorer prisoner counting free ghost disturbed may haunt death despite time leave board behind withclank catacomb standalone deck building adventure trip catacomb unique since lay tile create dungeon play using new dungeon deck include card previousclank expansion find fortune escape dragon inclank catacomb description publisher
Quacks,7.8,Family,10.0,4,45,1.94,inquacks first released asthe quack quedlinburg player charlatan quack doctor making secret brew adding ingredient one time take care add though pinch much spoil whole mixture player bag ingredient chip round simultaneously draw chip bag add pot higher face value drawn chip placed pot swirling pattern increasing much potion worth push luck far add many cherry bomb pot explode end round player gain victory point coin spend new ingredient depending well managed fill pot player whose pot exploded must choose point coin player victory point end nine round win game
Clans of Caledonia,7.9,Strategy,12.0,4,120,3.47,clan caledoniais mid heavy economic game set th century scotland time scotland made transition agricultural industrialized country heavily relied trade export following year food production increased significantly feed population growth linen increasingly substituted cheaper cotton raising sheep given high importance distillery founded whisky became premium alcoholic beverage europe player represent historic clan unique ability compete produce trade export agricultural good course whisky game end five round round consists three phase player take turn one eight possible action building upgrading trading exporting player run money pas collect passing bonus production phase player collect basic resource refined good cash production unit built game map production unit built make income visible player mat refined good require respective basic resource player receive vps depending scoring tile current round game come eight different clan modular board configuration eight port bonus eight round scoring tile
Paladins of the West Kingdom,8.0,Strategy,12.0,4,120,3.72,paladin west kingdomis set turbulent time west francia story circa ad despite recent effort develop city outlying township still threat outsider saracen scout border viking plunder wealth livestock even byzantine east shown darker side noble men woman player must gather worker city defend enemy build fortification spread faith throughout land fortunately alone great wisdom king sent finest knight help aid effort ready horse sharpen sword paladin approaching aim ofpaladins west kingdomis player victory point vp game end point gained building outpost fortification commissioning monk confronting outsider round player enlist help specific paladin gather worker carry task game progress player slowly increase faith strength influence affect final score also determine significance action game concluded end seventh round description publisher
The Gallerist,8.0,Strategy,13.0,4,150,4.22,age art capitalism created need new occupation gallerist combining element art dealer museum curator artist manager take job promote nurture artist buy display sell art build exert international reputation result achieve respect needed draw visitor gallery world lot work done worry hire assistant help achieve goal build fortune running lucrative gallery secure reputation world class gallerist
Le Havre,7.8,Strategy,12.0,5,150,3.71,inle havre player turn consists two part first distribute newly supplied good onto offer space take action action player may choose either take good one type offer space use one available building building action allow player upgrade good sell use build building ship building investment opportunity revenue stream player must pay entry fee use building ship hand primarily used provide food needed feed worker every seven turn round end player cattle grain may multiply harvest player must feed worker fixed number round player may carry one final action game end player add value building ship cash reserve player amassed largest fortune winner
Harmonies,8.0,Family,10.0,4,45,2.0,inharmonies build landscape placing colored token create habitat animal earn point win game incorporate habitat landscape wisely many animal settle starting first player proceeding clockwise player choose set terrain token central area place personal board may optionally choose animal card displayed place animal cube animal card completed pattern board match personal animal card card limit per player turn refill new set token new animal card needed placement terrain token depend personal animal card goal scoring rule various terrain type mountain field forest etc example mountain tile score based high tile score tile stacked score mountain score zero adjacent least one mountain cube given animal card placed card set aside new card drawn card scored game end based highest number covered cube game end token left bag refill central area least one player fewer empty space player board play continues player equal turn round player highest point winner optionally use nature spirit card richer gameplay setup player chooses spirit card place spirit cube card follow placement rule animal card tend ongoing effect completed spirit card count towards card hand limit description publisher
Maracaibo,8.0,Strategy,12.0,4,120,3.91,maracaibo strategy game player alexander pfister set caribbean th century player try increase influence three nation four round play time minute per player player sail round course caribbean e g city tile able perform various action deliver good one special feature implemented quest mode various tile tell player chase little story player move ship around course managing using card like game alexander pfister note spanish portuguese edition ofmaracaibocontainla armadamini expansion packaged inside base game box
Star Wars: Imperial Assault,8.0,Thematic,14.0,5,120,3.3,star war imperial assaultis strategy board game tactical combat mission two five player offering two distinct game battle adventure star war universe imperial assaultputs midst galactic civil war rebel alliance galactic empire destruction death star yavin game friend participate two separate game campaign game pit limitless troop resource galactic empire crack team elite rebel operative strive break empire hold galaxy skirmish game invite friend muster strike team battle head head conflicting objective campaign game imperial assaultinvites play cinematic tale set star war universe one player command seemingly limitless army galactic empire threatening extinguish flame rebellion forever four player become hero rebel alliance engaging covert operation undermine empire scheme course campaign imperial player rebel hero gain new experience skill allowing character evolve story unfolds imperial assaultoffers different game experience skirmish game skirmish mission friend compete head head tactical combat gather strike force imperial rebel mercenary build deck command card gain unexpected advantage heat battle whether recover lost holocrons battle defeat raiding party find danger tactical choice every skirmish additional benefit theluke skywalker ally packand thedarth vader villain packare included within theimperial assaultcore set figure pack offer sculpted plastic figure alongside additional campaign skirmish mission highlight luke skywalker darth vader withinimperial assault theseimperial assaultand figure pack find even mission allow hero fight alongside iconic character star war saga boxed expansion add hero imperial mercenary group totally new campaign seeia community wikifor list freestar war imperial assault legend allianceapp provides additional content play solo co op mode
Android: Netrunner,7.9,Customizable,14.0,2,45,3.41,welcome new angeles home beanstalk branch office monument human achievement nbn proudly broadcast favorite medium programming offer fully comprehensive streaming music threedee news sitcom classic movie sensies cover brave new age humanity hurtles space future astonishing series new advance every day nbn affiliate keeping pace bringing vid fit view android netrunneris asymmetrical living card game two player set cyberpunk future ofandroidandinfiltration game pit megacorporation massive resource subversive talent lone runner corporation seek score agenda advancing take time credit buy time earn credit need must secure server data fort ice security program come different variety simple barrier code gate aggressive sentry serve corporation virtual eye ear machine gun sprawling information superhighway network turn runner need spend time credit acquiring sufficient wealth resource purchasing necessary hardware developing suitably powerful ice breaker program hack past corporate security measure job always little desperate driven tight timeline shrouded mystery runner jack start run corporate server risk best program trashed caught trace program left vulnerable corporate countermeasure uncommon unprepared runner fail bypass nasty sentry suffer massive brain damage result even runner get data fort defense telling hold sometimes runner find something value sometimes best work trash whatever corporation developing first player seven point win game likely suffers brain damage bad publicity therevised core setforandroid netrunnerreleased late includes card original core set released well card genesis cycle spin cycle series data pack card set released previously art new
Ticket to Ride Legacy: Legends of the West,8.7,Family,10.0,5,90,2.57,inticket ride legacy legend west player embark twelve journey across north america th century pioneer campaign begin east coast player working way west one adventure next meeting challenge along way inticket ride completing ticket remain primary goal need develop skill hope overcome unexpected event resourceful rival game game route route continuously fill vault earnings story progress open frontier box unlock new rule content many surprise legacy style legend westis unique experience molded player choice player role play allowing change way story unfolds around combined evolving mechanism change game progress player new experience every time gather around board end twelve game legacy campaign transformed game unique copy continue playing lifetime description publisher
Agricola (Revised Edition),8.0,Strategy,12.0,4,120,3.44,updated streamlined new generation player agricola award winning highly acclaimed game uwe rosenberg feature revised rulebook gameplay wood piece component card selection base game well expansion revised updated edition th century easy time farmer player begin game two family member grow family course game allows action remember grow food feed family grows feeding family special kind challenge player plant grain vegetable supplementing food supply sheep wild boar cattle guide family wealth health prosperity win game
Mechs vs. Minions,8.0,Strategy,14.0,4,120,2.45,mechs v minionsis cooperative tabletop campaign player set world runeterra player take role four intrepid yordles corki tristana heimerdinger ziggs must join force pilot newly crafted mechs army marauding minion modular board programmatic command line story driven campaign mission unique putting teamwork programming piloting skill test ten mission total individual mission take minute
The White Castle,8.0,Strategy,12.0,4,80,3.03,heron fly himeji sky daimyo top castle watch servant move gardener tend pond koi carp live warrior stand guard wall courtier crowd gate pining audience brings closer innermost circle court night fall lantern lit worker return clan inthe white castle player control one clan order score victory point rest must amass influence court manage resource boldly place worker right place right time author sheila santos israel cendrero duo known llama dice also designed successful red cathedral devir case leave moscow ivan terrible behind explore imposing fortress modern japan himeji castle banner sakai clan fly order daimyo sakai tadakiyo white castleis euro type game mechanic resource management worker placement dice placement carry action game three round player send member clan tend garden defend castle progress social ladder nobility end match award player victory point variety way central panel show himeji castle splendor divided several zone largest inside castle room thousand carpet courtier must ascend socially reach circle closest daimyo enjoy favor also pond garden patiently tended gardener everyone relax contemplate beauty without restriction another important area wall outside castle warrior patrol stand guard finally find area three bridge three type dice used carry action accumulated personal domain player keep track resource reserve worker accessible rule careful setting white castleis versatile title fit different gaming group tradition llama dice title sleek simple design belies great deal strategic depth within grasp player description publisher
The Crew: The Quest for Planet Nine,7.8,Family,10.0,5,20,1.96,co operative trick taking gamethe crew quest planet nine player set astronaut uncertain space adventure rumor regarding unknown planet eventful journey space extends exciting mission game defeated meeting common individual task player order meet varied challenge communication essential team difficult expected space mission game becomes difficult mission game paused continued later mission number trick right trick right time count team completes mission every single player successful fulfilling task game come mission three additional mission published inspielbox
Kingdom Death: Monster,8.5,Thematic,17.0,4,180,4.27,kingdom death monsteris fully cooperative tabletop hobby game experience set unique nightmarish world devoid natural resource control settlement dawn existence fight monster craft weapon gear develop settlement ensure survival generation generation campaign systemembark alone friend game variant lantern year campaign year consisting cycle hunt showdown settlement phase settlement phase intricate civilization building game spend limited resource build building research new technology train warrior set strategy survival hunt encounter series story choose adventure style journey various event encounter finally meet monster pursuing engage massive arena style battle one party going survive party life able bring spoil back home use expanding settlement monster ai systemeach monster included controlled pair deck scale level difficulty except final encounter level hard every encounter even monster highly variable two showdown resolve way player plan gear keep mind sharp prevail gear systeminkingdom death monster survivor craft gear resource earned defeating monster found hunt survivor x gear grid selection arrangement gear card critical many provided bonus activate special rule aligned correctly story event system story event plus hunt encounter shape guide campaign story event detail important evolution civilization introduce new monster provide rich detail campaign trigger automatically progress campaign entirely based choice player make story event cover everything setting fighting monster key event happen within overall story triggered directly timeline others choice make game
Race for the Galaxy,7.7,Strategy,12.0,4,60,2.99,inrace galaxy player build galactic civilization playing card representing world technical social development round player secretly simultaneously select action card corresponding one phase round phase let player draw card play card add good world consume good vp chip phase chosen occur round every player may act phase occurs player chose phase get bonus game end triggered either player built civilization card pool vp chip exhausted player total victory point tableau plus vp chip earned play detailed overviewrace galaxy tell story galactic discovery expansion single deck card every card deck represents either world might settle development might implement card placed tableau represent current achievement world colonized technology wield card hand represent option currently available play card discard number card equal cost representing opportunity must forgo concentrate current course tableau card provides special power game end listed number victory point many world placed also produce good traded card consumed vp chip race galaxy played round round opponent secretly select action phase upcoming turn choose place world tableau withsettleor development withdevelop produce good world withproduce consume good vps withconsume add card hand withexploreor bytradinga good round phase selected occur occur everyone selecting phase ensures occurs round gain selecting player bonus round follows round someone build tableau twelve card last vp chip claimed victor player vps updatethe second edition game improved cvd color blindness includes revised card original version new worldspromo homeworlds promo homeworlds first edition compatiblerevised cardsare available purchase bgg store upc
Azul,7.7,Abstract,8.0,4,45,1.77,introduced moor azulejos originally white blue ceramic tile fully embraced portuguese king manuel visit alhambra palace southern spain mesmerized stunning beauty moorish decorative tile king awestruck interior beauty alhambra immediately ordered palace portugal decorated similar wall tile tile laying artist challenged embellish wall royal palace evora gameazul player take turn drafting colored tile supplier player board later round player score point based placed tile decorate palace extra point scored specific pattern completing set wasted supply harm player score player point end game win
Five Tribes: The Djinns of Naqala,7.8,Strategy,13.0,4,80,2.84,crossing land night caravan arrives fabled sultanate naqala old sultan died control naqala grab oracle foretold stranger would maneuver five tribe gain influence legendary city state fulfill prophecy invoke old djinn move tribe position right time sultanate may become designed bruno cathala five tribesbuilds long tradition german style game feature wooden meeples unique twist standard worker placement genre game begin meeples already place player must cleverly maneuver village market oasis sacred place tile make naqala dis place five tribe assassin elder builder merchant vizier determine victory failure befitting day wonder game rule straightforward easy learn devising winning strategy take calculated approach standard fare need carefully consider move score well put opponent disadvantage need weigh many different pathway victory including summoning powerful djinn may help cause attempt control legendary sultanate
Revive,8.1,Strategy,14.0,4,120,3.44,revive civilization year everything destroyed lead tribe explore frozen earth harness resource recruit surface survivor cause build factory powerful machine populate ancient site relearn tribe forgotten technology reviveis game player asymmetric player power highly variable setup fighting direct conflict playing part campaign unlocks additional content content unlocked game replayed indefinitely beginning game player get set citizen card tribe board well huge dual layer player board tribe board show unique tribe ability ancient technology may relearn game dual layer player board place custom machine upgrade card slot main goal game reach populate large ancient site ancient location randomized important source victory point shape strategy differently game game end artifact taken player point win
Great Western Trail: New Zealand,8.5,Strategy,12.0,4,150,4.0,ingreat western trail new zealand arunholder owner sheep station south island new zealand end th century recent year seen family farm prosper diversifying breed sheep increasing value wool dawn new century new challenge arisen must acquire new improved breed sheep ensure prosperity family business laborer work
Clank!: A Deck-Building Adventure,7.8,Family,12.0,4,60,2.23,burgle way adventure deck building board gameclank sneak angry dragon mountain lair steal precious artifact delve deeper find valuable loot acquire card deck watch thievish ability grow quick quiet one false step clank careless sound draw attention dragon artifact stolen increase rage enjoy plunder make depth alive clank deck building game player deck building part playing game start turn five card hand play order choose card generate resource three different kind every time acquire new card put face discard pile whenever need draw card find deck empty shuffle discard pile turn face form new deck shuffle newest card become part bigger better deck player start card deck acquire different card turn card many different thing player deck strategy become different game unfolds
Darwin's Journey,8.1,Strategy,14.0,4,120,3.9,identify horizon many long day line detaches sea sky glimpse distant shore appearing make shiver understanding adventure begin find astonished landing shore origin extensive exploration galapagos magic place inconceivable beauty endless biodiversity gather repertoire expand knowledge natural science eye learn detect hidden specie tropical forest gazing countless color texture nature inspiring hour spent studying getting enlightening conclusion rest sparkling sky admiring stunning complexity animal realm darwin journeyis worker placement eurogame player recall charles darwin memory adventure galapagos island contributed development theory evolution game innovative worker progression system worker study discipline prerequisite perform several action game exploration correspondence gathering dispatch repertoire found island museum order contribute human knowledge biology game last five round thanks several short long term objective every action take grant victory point different way
Blood on the Clocktower,8.4,Party,15.0,21,120,3.03,quiet village ravenswood bluff demon walk amongst hellish thunderstorm stroke midnight echo bone chilling scream townsfolk rush investigate find town storyteller murdered body impaled hand clocktower blood dripping onto cobblestone demon loose murdering night disguised human form day scrap information others ability fight evil protect innocent demon evil minion spreading lie confuse breed suspicion good townsfolk put puzzle together time execute true demon save evil overrun peaceful village blood clocktoweris bluffing game player opposing team good evil overseen storyteller player conduct action make crucial decision goal game successfully deduce execute demon outnumber townfolk day phase player socialize openly whisper privately trade knowledge spread lie culminating player execution majority suspect evil night time player close eye woken one time storyteller gather information spread mischief kill storyteller us game intricate playing piece guide game leaving others free play without table board player stay thick action end even character killed haunting ravenswood bluff ghost trying win beyond grave arrive late game enter started powerful traveller character unusual talent questionable allegiance character come special ability two player game ever character
Fields of Arle,8.0,Strategy,13.0,2,120,3.85,welcome arleinfields arle created uwe rosenberg one two player live farmer small peaceful town arle east frisia flax grown land surrounding village make profitable place work live field arle take player four half year era prosperity different opportunity available season change farm land capitalize demand flax find way make small town prosperity work landwhether delve flax farming leverage area expertise always make sure land build village construct dike keep water bay expand field dry bog harvest peat clear land cultivation create field livestock building future crop decide whether house animal cultivate forest timber perhaps like take flax farming diversify try little bit everything tool tradeat outset half year choose like spend time working many way build fortune use master space increase tool disposal focus cattle trainer make livestock build fleet vehicle ship good taking stock progress differs depending season may milk existing livestock care bunch newborn animal could harvest flax fall shear sheep spring end half year need take stock progress unloading vehicle feeding family animal keep eye season best keep farm growing everyone well fed travel prosperonce made headway clearing field stocking good time make product available potential buyer vehicle good ship send thing wide world increase travel experience grant point course four half year game build farm vehicle get good world make every season many road success field arle pick path work land enjoy friendly competition strive make fortune publisher website
Eclipse: New Dawn for the Galaxy,7.8,Strategy,14.0,6,180,3.71,galaxy peaceful place many year ruthless terran hegemony war much effort employed major spacefaring specie prevent terrifying event repeating galactic council formed enforce precious peace taken many courageous effort prevent escalation malicious act nevertheless tension discord growing among seven major specie council old alliance shattering hasty diplomatic treaty made secrecy confrontation superpower seems inevitable outcome galactic conflict remains seen faction emerge victorious lead galaxy rule game ofeclipseplaces control vast interstellar civilization competing success rival explore new star system research technology build spaceship wage war many potential path victory need plan strategy according strength weakness specie paying attention civilization endeavor shadow great civilization eclipse galaxy lead people victory
Aeon's End,7.9,Strategy,14.0,4,60,2.8,survivor long ago invasion taken refuge forgotten underground city gravehold desperate remnant society learned energy breach being use attack repurposed various gem transforming malign energy within beneficial spell weapon aid last line defense breach mages aeon endis cooperative game explores deckbuilding genre number innovative mechanism including variable turn order system simulates chaos attack deck management rule require careful planning every discarded card player struggle defend gravehold nameless horde using unique ability powerful spell importantly collective wit
Wingspan Asia,8.2,Family,10.0,2,70,2.67,wingspan asia introduces diverse vibrant bird asian continent always objective earn point playing bird achieving objective laying egg across habitat release serf multiple role within wingspan universe player using new duet mode includes board rule tailored two player gameplay player following rule original wingspan game played completely without base game wingspan even included board used without nectar resource introduced wingspan oceania wingspan asia add new bird bonus card original wingspan expansion way play wingspan player new flock mode requires player component core game
Lords of Waterdeep,7.7,Strategy,12.0,5,120,2.45,game description publisher waterdeep city splendor resplendent jewel forgotten realm den political intrigue shady back alley dealing game player powerful lord vying control great city treasure resource ripe taking gained trickery negotiation must taken force inlords waterdeep strategy board game player take role one masked lord waterdeep secret ruler city agent recruit adventurer go quest behalf earning reward increasing influence city expand city purchasing new building open new action board hinder help lord playing intrigue card enact carefully laid plan course play may gain point resource completing quest constructing building playing intrigue card player utilize building constructed end round play player accrued point win game
El Grande,7.8,Strategy,12.0,5,120,2.94,award winning game player take role ofgrandesin medieval spain king power flagging powerful lord vying control various region end draft caballeros knight court subsequently move onto board help seize control region every third round region scored ninth round player point winner nine round select one power card determine turn order well number caballeros get move province general supply court personal supply turn consists selecting one five action card allow variation rule additional scoring opportunity addition determining many caballeros move court one region board castillo secretive tower normally may place caballeros region adjacent one containing king one hard fast rule el grande nothing may move king region one five action card always available round allows move king new region four action card vary round round goal caballero majority many region castillo possible scoring round following scoring castillo place cube region secretly indicated region dial region scored individually according table printed region two point bonus awarded sole majority region containing grande region containing king
SCOUT,7.8,Family,9.0,5,20,1.37,scoutis ladder climbing game card two potential value player may rearrange hand card player may pas turn take card current high set card hand specifically card dual indexed different value half card card possible combination number set whoever shuffling card randomize order card deck orientation player dealt entire hand card pick hand without rearranging card wish rotate entire hand card order use value end card rearrange order card hand turn player take one two action play player chooses one adjacent card hand value value consecutive order whether ascending descending play set card table table empty first turn set playing ranked higher set currently table set higher card card value instead consecutive card set quantity type higher value latter case player overplays another set player capture card previous set place face front scout player take card either end set currently table place anywhere wish hand either orientation whoever played previous set receives vp token reward playing set beaten per round player scout immediately play player emptied hand card one player scouted instead playing round end player receive vp face card subtract one point card hand except player scouted repeatedly end game play many round number player whoever point win
Teotihuacan: City of Gods,7.8,Strategy,14.0,4,120,3.77,travel back time greatest city mesoamerica witness glory twilight powerful pre columbian civilization strategize accrue wealth gain favour god become builder magnificent pyramid sun inteotihuacan city god player command force worker dice grow strength every move turn move worker around modular board always choosing one two area location tile land one offering action worker upgrade providing powerful bonus without upgrade managing workforce resource player develop new technology climb step three great temple build house inhabitant city raise legendary breath taking pyramid sun center city game played three era dawn aztec come closer player effort ability feed workforce evaluated total three time player fame winner
Beyond the Sun,7.9,Strategy,14.0,4,120,3.14,beyond sunis space civilization game player collectively decide technological progress humankind dawn spacefaring era competing leading faction economic development science galactic influence game played variable number round number game end achievement collectively claimed player winner faction victory point obtained researching technology improving economy controlling colonizing system completing various achievement event throughout game turn player move action pawn empty action space take action conduct production phase either producing ore growing population trading one resource another finally claim one achievement possible player take action research new technology come four level technology one four type scientific economic military commercial higher level technology must match one type tech lead thus player create technology tree game using action increase military strength jump different habitable exoplanetary system colonize system boost resource production develop android tech allows growth without population
Concordia Venus,8.3,Strategy,12.0,6,120,3.01,concordia venusis standalone reimplementation ofconcordiawith added feature concordia venus peaceful strategy game economic development roman time player aged instead looking luck dice card player must rely strategic ability sure watch rival determine goal pursuing outpace game colonist sent rome settle city produce brick food tool wine cloth player start identical set playing card acquires card game card serve two purpose allow player choose action game worth victory point vps end game concordia strategy game requires advance planning consideration opponent move every game different sequence new card sale also due modular layout city different map included game card sold market first player build th house game end player vps god jupiter saturnus mercurius minerva vesta venus etc win game note entry standalone gameconcordia venus different fromconcordia venus expansion requiresconcordiato play
Through the Ages: A Story of Civilization,7.8,Strategy,12.0,4,120,4.18,agesis civilization building game player attempt build best civilization careful resource management discovering new technology electing right leader building wonder maintaining strong military weakness area exploited opponent game take place throughout age beginning age antiquity ending modern age one primary mechanism tta card drafting technology wonder leader come play become easier draft longer play order use technology need enough science discover enough food create population man enough resource ore build building use balancing resource needed advance technology also need build military military built way civilian building player weak military preyed upon player map game lose territory player higher military steal resource science kill leader take population culture difficult win large military easy lose weak one victory achieved player whose nation culture end modern age
Dominant Species,7.8,Strategy,14.0,6,240,4.04,b c great ice age fast approaching another titanic struggle global supremacy unwittingly commenced varying animal specie dominant speciesis game abstractly recreates tiny portion ancient history ponderous encroachment ice age entail living creature trying adapt slowly changing earth player assume role one six major animal class mammal reptile bird amphibian arachnid insect begin game le state natural balance relation one another last indeed survival fittest wily action pawn placement player strive become dominant many different terrain tile possible order claim powerful card effect player also want propagate individual specie order earn victory point particular animal player aided endeavor via speciation migration adaptation action among others eventually lead end game final ascent ice age player accumulated victory point animal crowned dominant specie somebody better become dominant quickly getting mighty cold game playthe large hexagonal tile used throughout game create ever expanding interpretation earth might appeared thousand century ago smaller tundra tile placed atop larger tile converting tundra process ice age encroaches cylindrical action pawn ap drive game ap allow player perform various action taken speciation environmental change migration glaciation placed action display planning phase ap trigger particular action owning player execution phase generally player trying enhance animal survivability simultaneously trying hinder opponent hopefully collecting valuable victory point vp along way various card aid effort giving player useful one time ability opportunity recurring vp gain throughout game specie cube added moved removed tile play earth element disk added removed animal earth game end player conduct final scoring tile player controlling animal highest vp total win
7 Wonders,7.7,Family,10.0,7,30,2.32,leader one great city ancient world gather resource develop commercial route affirm military supremacy build city erect architectural wonder transcend future time wonderslasts three age age player receive seven card particular deck choose one card pas remainder adjacent player player reveal card simultaneously paying resource needed collecting resource interacting player various way player individual board special power organize card board double sided player chooses another card deck passed process repeat player six card play age three age game end essence wondersis card development game card immediate effect others provide bonus upgrade later game card provide discount future purchase provide military strength overpower neighbor others give nothing victory point card played immediately drafted know card neighbor receiving choice might affect already built card passed left right left three age need keep eye neighbor direction though box earlier edition listed player official player variant included instruction
The Search for Planet X,7.9,Strategy,13.0,4,75,2.43,edge solar system dark planet may lurk astronomer estimated large distant planet could explain unique orbit dwarf planet object since astronomer scanning sky hoping find planet inthe search planet x player take role astronomer use observation logical deduction search hypothetical planet game companion app randomly selects arrangement object location planet x following predefined logic rule round earth travel around sun player use app perform scan attend conference gain information location object mark information deduction sheet player learn location various object start publishing theory player score point object found player narrow possible location planet x player belief know location object either side use app conduct search game end player successfully locates planet x player final chance score additional point search planet xcaptures thrill discovery puzzle nature astronomical investigation competition inherent scientific process first find planet x description publisher
Final Girl,8.2,Thematic,14.0,1,60,2.74,playing famous horror movie trope final girlis solitaire game put player shoe female protagonist must kill slasher want survive thecore box combined one feature film box everything need play game feature film box feature unique killer iconic location feature film killer location combination experience game term final girlshares similarity withhostage negotiator key difference change including game board track location character movement choose multiple character picking someone play multiple killer picking someone play killer location specific terror card shuffled together create unique experience various combination scenario play note kickstarter forfinal girl season included cardfinal girl first printing correction packof corrected card first printing offinal girl series card mostly fix typo required play game card corrected second printing offinal girl series description publisher official faq erratum new player use caution question slightly spoil surprise http doc google com document w lbbhdlvr gmqzpufwfubczfhrzxtdh pafdt g edit
Robinson Crusoe: Adventures on the Cursed Island,7.7,Thematic,14.0,4,120,3.83,robinson crusoe adventure cursed islandis game created ignacy trzewiczek author ofstronghold time trzewiczek take player deserted island play part shipwreck survivor confronted extraordinary adventure faced challenge building shelter finding food fighting wild beast protecting weather change building wall around home animal domestication constructing weapon tool find much await island player decide direction game unfold several game week hard work settlement look manage discover secret island meantime find pirate treasure abandoned village discover underground city cursed temple bottom volcano answer question lie hundred event card hundred object structure card used game robinson crusoe adventure cursed islandis epic game portal build shelter palisade weapon create tool like ax knife sack everything survive find food fight wild beast protect weather change take role one four character ship crew cook carpenter explorer soldier face adventure use determination skill help teammate discus plan put practice debate discus work best plan make search treasure discover mystery follow goal six different engaging scenario start building big pile wood setting fire call help start new adventure become exorcist cursed island become treasure hunter volcano island become rescue team young lady stuck rock island let adventure live
The Voyages of Marco Polo,7.8,Strategy,12.0,4,100,3.18,year old marco polo started journey china father older brother long grueling journey led jerusalem mesopotamia silk road reached court kublai khan inthe voyage marco polo player recreate journey player different character history special power game game played five round round player roll five personal dice take turn performing action placing dice onto board player may choose variety action require use one dice collecting resource money acquiring contract traveling map using special action granted city traveling player begin venice decide several route eastward way beijing player stop city place trading post giving access extra action resource rest game higher value dice used action better option may chosen also money player must pay opponent already chosen action five round game end player receiving extra victory point trading post beijing fulfilling contract trading post city secret goal card player get start game game confused withmarco polo expedition german title
